filename,Violate MR-1 by 3 colors,Violate MR-1 by 15 colors,Violate MR-2 by 3 colors,Violate MR-2 by 15 colors
ILSVRC2012_val_00000470.JPEG,False,False,False,False
ILSVRC2012_val_00000471.JPEG,False,False,False,False
ILSVRC2012_val_00000472.JPEG,False,False,False,False
ILSVRC2012_val_00000474.JPEG,False,False,False,False
ILSVRC2012_val_00000475.JPEG,False,False,False,False
ILSVRC2012_val_00000476.JPEG,False,False,False,False
ILSVRC2012_val_00000477.JPEG,False,False,False,False
ILSVRC2012_val_00000478.JPEG,False,False,False,False
ILSVRC2012_val_00000479.JPEG,False,False,False,False
ILSVRC2012_val_00000481.JPEG,False,False,False,False
ILSVRC2012_val_00000482.JPEG,False,False,False,False
ILSVRC2012_val_00000483.JPEG,True,True,False,False
ILSVRC2012_val_00000486.JPEG,False,False,False,False
ILSVRC2012_val_00000487.JPEG,False,False,False,False
ILSVRC2012_val_00000488.JPEG,False,False,False,False
ILSVRC2012_val_00000489.JPEG,False,False,False,False
ILSVRC2012_val_00000490.JPEG,False,False,False,False
ILSVRC2012_val_00000491.JPEG,False,False,False,False
ILSVRC2012_val_00000492.JPEG,False,False,True,True
ILSVRC2012_val_00000493.JPEG,False,False,True,True
ILSVRC2012_val_00000494.JPEG,True,True,True,True
ILSVRC2012_val_00000495.JPEG,False,False,False,False
ILSVRC2012_val_00000496.JPEG,False,False,True,True
ILSVRC2012_val_00000497.JPEG,False,False,False,False
ILSVRC2012_val_00000498.JPEG,False,False,False,False
ILSVRC2012_val_00000499.JPEG,False,False,False,False
ILSVRC2012_val_00000500.JPEG,False,False,False,False
ILSVRC2012_val_00000501.JPEG,False,False,False,False
ILSVRC2012_val_00000502.JPEG,False,False,False,True
ILSVRC2012_val_00000504.JPEG,False,False,False,False
ILSVRC2012_val_00000506.JPEG,False,False,False,False
ILSVRC2012_val_00000507.JPEG,False,False,False,True
ILSVRC2012_val_00000508.JPEG,True,True,True,True
ILSVRC2012_val_00000511.JPEG,False,False,False,False
ILSVRC2012_val_00000512.JPEG,False,False,False,False
ILSVRC2012_val_00000515.JPEG,False,False,False,False
ILSVRC2012_val_00000520.JPEG,False,False,False,False
ILSVRC2012_val_00000521.JPEG,True,True,True,True
ILSVRC2012_val_00000522.JPEG,True,False,False,False
ILSVRC2012_val_00000523.JPEG,False,False,False,False
ILSVRC2012_val_00000524.JPEG,False,False,False,False
ILSVRC2012_val_00000525.JPEG,False,False,False,False
ILSVRC2012_val_00000526.JPEG,False,False,False,False
ILSVRC2012_val_00000527.JPEG,False,False,False,False
ILSVRC2012_val_00000528.JPEG,False,False,True,True
ILSVRC2012_val_00000529.JPEG,True,True,False,False
ILSVRC2012_val_00000531.JPEG,False,False,False,False
ILSVRC2012_val_00000532.JPEG,False,False,False,False
ILSVRC2012_val_00000533.JPEG,False,False,False,False
ILSVRC2012_val_00000534.JPEG,False,False,True,True
ILSVRC2012_val_00000535.JPEG,False,False,True,True
ILSVRC2012_val_00000536.JPEG,False,False,False,False
ILSVRC2012_val_00000537.JPEG,True,True,True,True
